,start_time,end_time,station_start_name,start_lat,start_long,station_end_name,end_lat,end_long,user_type,time_travel,miles,time_travel_seconds
33914,2022-04-13 17:13:45,2022-04-13 17:24:29,Adams St & 11 St,40.750915534784994,-74.03354063630104,City Hall - Washington St & 1 St,40.73736,-74.03097,casual,644,0.9450464940705926,644
58861,2022-04-19 07:30:42,2022-04-19 07:32:28,Warren St,40.7211236,-74.03805095,Washington St,40.7242941,-74.0354826,member,106,0.2569843670428672,106
4746,2022-01-05 12:00:47,2022-01-05 12:14:49,Oakland Ave,40.7376037,-74.0524783,Newport Pkwy,40.7287448,-74.0321082,member,842,1.2316216361806953,842
60681,2022-04-15 20:55:35,2022-04-15 21:01:33,South Waterfront Walkway - Sinatra Dr & 1 St,40.73698221818716,-74.02778059244156,South Waterfront Walkway - Sinatra Dr & 1 St,40.73698221818716,-74.02778059244156,casual,358,0.0,358
752,2017-08-01 17:19:25,2017-08-01 17:24:29,Brunswick St,40.7241765,-74.0506564,Columbus Drive,40.71835519823214,-74.03891444206238,member,304,0.7357623851840704,304
74993,2022-08-01 15:05:04,2022-08-01 15:06:40,11 St & Washington St,40.74998490907138,-74.02715027332306,12 St & Sinatra Dr N,40.75060414236896,-74.02402013540268,member,96,0.16972369208464874,96
30113,2022-08-09 19:05:24,2022-08-09 19:06:45,Morris Canal,40.7124188237569,-74.03852552175522,Essex Light Rail,40.7127742,-74.0364857,member,81,0.10987343912426313,81
94064,2022-08-22 05:50:04,2022-08-22 05:52:24,7 St & Monroe St,40.74641264837719,-74.03797701001167,Clinton St & 7 St,40.74542,-74.03332,member,140,0.2538141274767738,140
89942,2022-08-21 18:02:49,2022-08-21 18:15:18,Hudson St & 4 St,40.74097260864355,-74.02860336005688,4 St & Grand St,40.7422579775645,-74.03511106967926,member,749,0.35287124556448257,749
84160,2022-08-26 08:49:02,2022-08-26 08:58:50,Columbus Dr at Exchange Pl,40.717346907,-74.032599807,McGinley Square,40.7253399253558,-74.06762212514877,member,588,1.9195687025687793,588
8389,2022-01-02 13:37:21,2022-01-02 13:41:15,Hoboken Terminal - Hudson St & Hudson Pl,40.73593758446329,-74.03030455112457,Madison St & 1 St,40.73879,-74.0393,casual,234,0.5115197908992116,234
24708,2022-08-22 14:35:30,2022-08-22 14:44:28,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,Madison St & 10 St,40.74994325412246,-74.03586477041245,casual,538,1.1717819459858456,538
52643,2022-08-12 17:46:44,2022-08-12 17:49:53,Journal Square,40.73367,-74.0625,Dey St,40.737711,-74.066921,member,189,0.36276321386385063,189
72183,2022-08-27 08:48:16,2022-08-27 08:54:26,Grove St PATH,40.719661832,-74.043221951,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,casual,370,1.281340895835124,370
92608,2022-08-06 10:00:35,2022-08-06 10:05:31,Marshall St & 2 St,40.740802,-74.042521,Hoboken Terminal - River St & Hudson Pl,40.7360676564825,-74.02912706136703,member,296,0.7751831221284752,296
12492,2017-12-21 06:21:04,2017-12-21 06:25:35,Brunswick & 6th,40.72601172964625,-74.05038893222809,Grove St PATH,40.71958611647166,-74.04311746358871,member,271,0.5850721254680112,271
4608,2017-12-07 05:52:57,2017-12-07 05:55:43,Morris Canal,40.7124188237569,-74.03852552175522,Paulus Hook,40.7141454,-74.0335519,member,166,0.28703321662375114,166
27141,2022-12-21 14:33:20,2022-12-21 14:40:58,Hilltop,40.731084943,-74.05743885,Montgomery St,40.71942,-74.05099,member,458,0.8732042748258243,458
2977,2022-12-28 06:43:40,2022-12-28 06:44:44,Harborside,40.719375372,-74.033851147,Columbus Dr at Exchange Pl,40.71687,-74.03281,member,64,0.18131232087389446,64
